,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
29,2020-11-11,100.09792201935682,99.35127792150445,100.12437219577805,100.09792201935682,100.09792201935682,-0.34039600391586317,-0.34039600391586317,-0.34039600391586317,0.052656691045756605,0.052656691045756605,0.052656691045756605,-0.3930526949616198,-0.3930526949616198,-0.3930526949616198,0.0,0.0,0.0,99.75752601544096
30,2020-11-12,100.09311731992031,99.37198795469537,100.18383755862111,100.09311731992031,100.09311731992031,-0.31830182654370026,-0.31830182654370026,-0.31830182654370026,0.05818865212069246,0.05818865212069246,0.05818865212069246,-0.3764904786643927,-0.3764904786643927,-0.3764904786643927,0.0,0.0,0.0,99.77481549337661
31,2020-11-13,100.08831262048383,99.40126562205016,100.18663483055509,100.08831262048383,100.08831262048383,-0.305685430984564,-0.305685430984564,-0.305685430984564,0.053193847041786015,0.053193847041786015,0.053193847041786015,-0.35887927802635006,-0.35887927802635006,-0.35887927802635006,0.0,0.0,0.0,99.78262718949927
32,2020-11-16,100.07389852217433,99.3854491779465,100.19337968887503,100.07389852217433,100.07389852217433,-0.26204771906388113,-0.26204771906388113,-0.26204771906388113,0.03856426623533261,0.03856426623533261,0.03856426623533261,-0.3006119852992138,-0.3006119852992138,-0.3006119852992138,0.0,0.0,0.0,99.81185080311045
33,2020-11-17,100.06909382273784,99.41079011684393,100.2099637313577,100.06909382273784,100.06909382273784,-0.26263775144649504,-0.26263775144649504,-0.26263775144649504,0.0171297445399935,0.0171297445399935,0.0171297445399935,-0.2797674959864886,-0.2797674959864886,-0.2797674959864886,0.0,0.0,0.0,99.80645607129135
34,2020-11-18,100.06428912330135,99.48150314953854,100.26461549320314,100.06428912330135,100.06428912330135,-0.20579624485666653,-0.20579624485666653,-0.20579624485666653,0.052656691045656845,0.052656691045656845,0.052656691045656845,-0.2584529359023233,-0.2584529359023233,-0.2584529359023233,0.0,0.0,0.0,99.85849287844468
35,2020-11-19,100.05948442386486,99.49224084480721,100.26692608356466,100.05948442386486,100.05948442386486,-0.17864761901313178,-0.17864761901313178,-0.17864761901313178,0.058188652120837146,0.058188652120837146,0.058188652120837146,-0.2368362711339689,-0.2368362711339689,-0.2368362711339689,0.0,0.0,0.0,99.88083680485173
36,2020-11-20,100.05467972442837,99.50636668214159,100.30615453481974,100.05467972442837,100.05467972442837,-0.1619034441214998,-0.1619034441214998,-0.1619034441214998,0.053193847041655994,0.053193847041655994,0.053193847041655994,-0.2150972911631558,-0.2150972911631558,-0.2150972911631558,0.0,0.0,0.0,99.89277628030686
37,2020-11-23,100.04026562611888,99.54336003230172,100.33422324462164,100.04026562611888,100.04026562611888,-0.11249095703866965,-0.11249095703866965,-0.11249095703866965,0.03856426623529257,0.03856426623529257,0.03856426623529257,-0.15105522327396223,-0.15105522327396223,-0.15105522327396223,0.0,0.0,0.0,99.92777466908021
38,2020-11-24,100.03546092668239,99.5270537122433,100.326842324971,100.03546092668239,100.03546092668239,-0.11361966849330006,-0.11361966849330006,-0.11361966849330006,0.017129744540023497,0.017129744540023497,0.017129744540023497,-0.13074941303332355,-0.13074941303332355,-0.13074941303332355,0.0,0.0,0.0,99.92184125818909
39,2020-11-25,100.03065622724588,99.58101565550939,100.34576923258837,100.03065622724588,100.03065622724588,-0.058627880586326855,-0.058627880586326855,-0.058627880586326855,0.05265669104567529,0.05265669104567529,0.05265669104567529,-0.11128457163200214,-0.11128457163200214,-0.11128457163200214,0.0,0.0,0.0,99.97202834665956
40,2020-11-27,100.0210468283729,99.60183205852924,100.40476276378406,100.0210468283729,100.0210468283729,-0.02240435598242367,-0.02240435598242367,-0.02240435598242367,0.053193847041525986,0.053193847041525986,0.053193847041525986,-0.07559820302394965,-0.07559820302394965,-0.07559820302394965,0.0,0.0,0.0,99.99864247239049
41,2020-11-30,100.03504470011713,99.65399258817934,100.41659194796462,100.03504470011713,100.03504470011713,0.0060025890477894165,0.0060025890477894165,0.0060025890477894165,0.03856426623553149,0.03856426623553149,0.03856426623553149,-0.03256167718774207,-0.03256167718774207,-0.03256167718774207,0.0,0.0,0.0,100.04104728916492
42,2020-12-01,100.0397106573652,99.62857913749966,100.41741273294531,100.0397106573652,100.0397106573652,-0.004414358887776694,-0.004414358887776694,-0.004414358887776694,0.0171297445399134,0.0171297445399134,0.0171297445399134,-0.021544103427690097,-0.021544103427690097,-0.021544103427690097,0.0,0.0,0.0,100.03529629847743
43,2020-12-02,100.04437661461328,99.68559070533468,100.44299087026184,100.04437661461328,100.04437661461328,0.04029580837668395,0.04029580837668395,0.04029580837668395,0.052656691045707006,0.052656691045707006,0.052656691045707006,-0.012360882669023058,-0.012360882669023058,-0.012360882669023058,0.0,0.0,0.0,100.08467242298997
44,2020-12-03,100.04904257186136,99.70017507653242,100.47947053036874,100.04904257186136,100.04904257186136,0.05310196547643519,0.05310196547643519,0.05310196547643519,0.05818865212084468,0.05818865212084468,0.05818865212084468,-0.005086686644409496,-0.005086686644409496,-0.005086686644409496,0.0,0.0,0.0,100.1021445373378
