,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,actual
31,1985-11-13,120.47838115499214,-682.4986228154255,1016.4232577652485,120.47838115499214,120.47838115499214,10.922038326197121,10.922038326197121,10.922038326197121,3.3637165343333018,3.3637165343333018,3.3637165343333018,7.55832179186382,7.55832179186382,7.55832179186382,0.0,0.0,0.0,131.40041948118926,121.16500091552734
32,1985-11-14,120.54622728927428,-719.2524711499674,1100.7735191785966,120.54622728927428,120.54622728927428,11.439834156742835,11.439834156742835,11.439834156742835,2.437164316043213,2.437164316043213,2.437164316043213,9.002669840699621,9.002669840699621,9.002669840699621,0.0,0.0,0.0,131.98606144601712,121.83499908447266
33,1985-11-15,120.61407342355643,-747.5323167488073,1021.0172370894574,120.61407342355643,120.61407342355643,5.561712856986667,5.561712856986667,5.561712856986667,-4.926578529314896,-4.926578529314896,-4.926578529314896,10.488291386301563,10.488291386301563,10.488291386301563,0.0,0.0,0.0,126.17578628054311,122.17500305175781
34,1985-11-18,120.81761182640291,-699.63121858278,955.0681667259568,120.81761182640291,120.81761182640291,18.562256511158672,18.562256511158672,18.562256511158672,3.471879504506729,3.471879504506729,3.471879504506729,15.090377006651945,15.090377006651945,15.090377006651945,0.0,0.0,0.0,139.3798683375616,121.95500183105469
35,1985-11-19,120.88545796068507,-721.5686436341999,953.6500323025394,120.88545796068507,120.88545796068507,18.271871171135235,18.271871171135235,18.271871171135235,1.6518667565777867,1.6518667565777867,1.6518667565777867,16.62000441455745,16.62000441455745,16.62000441455745,0.0,0.0,0.0,139.15732913182032,122.56999969482422
36,1985-11-20,120.95330409496722,-740.6242065976252,946.555553722967,120.95330409496722,120.95330409496722,21.47696075304655,21.47696075304655,21.47696075304655,3.363716534333858,3.363716534333858,3.363716534333858,18.11324421871269,18.11324421871269,18.11324421871269,0.0,0.0,0.0,142.43026484801376,122.19999694824219
37,1985-11-21,121.02115022924937,-716.3801387234927,1001.2193557814289,121.02115022924937,121.02115022924937,21.98332827048816,21.98332827048816,21.98332827048816,2.4371643160514216,2.4371643160514216,2.4371643160514216,19.54616395443674,19.54616395443674,19.54616395443674,0.0,0.0,0.0,143.00447849973753,123.61000061035156
38,1985-11-22,121.08899636353154,-710.834274431595,1023.9512190442787,121.08899636353154,121.08899636353154,15.966976985220615,15.966976985220615,15.966976985220615,-4.926578529320293,-4.926578529320293,-4.926578529320293,20.89355551454091,20.89355551454091,20.89355551454091,0.0,0.0,0.0,137.05597334875216,123.97000122070312
39,1985-11-25,121.29253476637801,-696.2008851703642,1037.7283031297127,121.29253476637801,121.29253476637801,27.640332186100608,27.640332186100608,27.640332186100608,3.471879504505687,3.471879504505687,3.471879504505687,24.168452681594918,24.168452681594918,24.168452681594918,0.0,0.0,0.0,148.9328669524786,123.13500213623047
40,1985-11-26,121.36038090066016,-735.5087355197675,1026.5919044937543,121.36038090066016,121.36038090066016,26.576703758340066,26.576703758340066,26.576703758340066,1.6518667565709044,1.6518667565709044,1.6518667565709044,24.924837001769163,24.924837001769163,24.924837001769163,0.0,0.0,0.0,147.93708465900022,123.94999694824219
